channel,video_id,title,url,source,vtt_path,txt_path,bytes,status
exurb1a,4kDPxbS6ofw,Genocide Bingo,https://www.youtube.com/watch?v=4kDPxbS6ofw,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Genocide Bingo-4kDPxbS6ofw.en.vtt,transcripts/exurb1a/archive_hacker097/text/Genocide Bingo-4kDPxbS6ofw.en.txt,9340,archived
exurb1a,31TlPuobyhQ,gramar explaned,https://www.youtube.com/watch?v=31TlPuobyhQ,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/gramar explaned-31TlPuobyhQ.en.vtt,transcripts/exurb1a/archive_hacker097/text/gramar explaned-31TlPuobyhQ.en.txt,9895,archived
exurb1a,VJ_kMossOes,How Casual Sex Should Work,https://www.youtube.com/watch?v=VJ_kMossOes,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/How Casual Sex Should Work-VJ_kMossOes.en.vtt,transcripts/exurb1a/archive_hacker097/text/How Casual Sex Should Work-VJ_kMossOes.en.txt,2381,archived
exurb1a,CNQC1DoaWz8,How Do Teleporters Work,https://www.youtube.com/watch?v=CNQC1DoaWz8,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/How Do Teleporters Work-CNQC1DoaWz8.en.vtt,transcripts/exurb1a/archive_hacker097/text/How Do Teleporters Work-CNQC1DoaWz8.en.txt,3415,archived
exurb1a,8uhxx_FgY6E,How Not to Do Brownies,https://www.youtube.com/watch?v=8uhxx_FgY6E,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/How Not to Do Brownies-8uhxx_FgY6E.en.vtt,transcripts/exurb1a/archive_hacker097/text/How Not to Do Brownies-8uhxx_FgY6E.en.txt,9722,archived
exurb1a,O7M7BoJGRNc,How to Build a Human,https://www.youtube.com/watch?v=O7M7BoJGRNc,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/How to Build a Human-O7M7BoJGRNc.en.vtt,transcripts/exurb1a/archive_hacker097/text/How to Build a Human-O7M7BoJGRNc.en.txt,15268,archived
exurb1a,MdG4f5Y3ugk,How to Care for Your Introvert,https://www.youtube.com/watch?v=MdG4f5Y3ugk,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/How to Care for Your Introvert-MdG4f5Y3ugk.en.vtt,transcripts/exurb1a/archive_hacker097/text/How to Care for Your Introvert-MdG4f5Y3ugk.en.txt,8275,archived
exurb1a,7MJ2MyDQM_8,How to Colonise the Galaxy,https://www.youtube.com/watch?v=7MJ2MyDQM_8,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/How to Colonise the Galaxy-7MJ2MyDQM_8.en.vtt,transcripts/exurb1a/archive_hacker097/text/How to Colonise the Galaxy-7MJ2MyDQM_8.en.txt,8845,archived
exurb1a,HolrNiKjyDw,How to Quit Drugs,https://www.youtube.com/watch?v=HolrNiKjyDw,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/How to Quit Drugs-HolrNiKjyDw.en.vtt,transcripts/exurb1a/archive_hacker097/text/How to Quit Drugs-HolrNiKjyDw.en.txt,363,archived
exurb1a,AAPVmY8FLlM,How You're Probably Going to Die,https://www.youtube.com/watch?v=AAPVmY8FLlM,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/How You're Probably Going to Die-AAPVmY8FLlM.en.vtt,transcripts/exurb1a/archive_hacker097/text/How You're Probably Going to Die-AAPVmY8FLlM.en.txt,7191,archived
exurb1a,V_Ac-SVYI48,Hymn for Goldilocks,https://www.youtube.com/watch?v=V_Ac-SVYI48,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Hymn for Goldilocks-V_Ac-SVYI48.en.vtt,transcripts/exurb1a/archive_hacker097/text/Hymn for Goldilocks-V_Ac-SVYI48.en.txt,8645,archived
exurb1a,A4pR--qJTdU,Instructions for a Happy Life,https://www.youtube.com/watch?v=A4pR--qJTdU,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Instructions for a Happy Life-A4pR--qJTdU.en.vtt,transcripts/exurb1a/archive_hacker097/text/Instructions for a Happy Life-A4pR--qJTdU.en.txt,8661,archived
exurb1a,9ch7qfIbJn0,Introduction to Music,https://www.youtube.com/watch?v=9ch7qfIbJn0,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Introduction to Music-9ch7qfIbJn0.en.vtt,transcripts/exurb1a/archive_hacker097/text/Introduction to Music-9ch7qfIbJn0.en.txt,5387,archived
